postId,url,time,text,likes,shares,comments,isVideo,viewsCount
890660573095639,https://www.facebook.com/reel/1001688764606476/,2024-07-28T10:01:12.000Z,end stock favorite fit last rush nearest max fashion store maxfashion maxmaniasale kid fashion price drop end season sale,14,0,,True,1176.0
890612876433742,https://www.facebook.com/reel/1479915999333941/,2024-07-28T08:03:21.000Z,time ticking fit 199 flipping fantastic dont let fashion fiesta end without rush max fashion maxfashion maxmaniasale end season sale price drop alert men fashion,316,0,,True,22148.0
890523209776042,https://www.facebook.com/reel/2652751864895689/,2024-07-28T04:31:37.000Z,snatch favorite max mania sale 199 still get rolling nearest max fashion store today maxfashion maxmaniasale end season sale price drop alert,293,2,1.0,True,32421.0
889910333170663,https://www.facebook.com/reel/3906700136238971/,2024-07-27T04:30:54.000Z,time shop ball drop max mania sale last chance snag favorite let get going time head max fashion asap maxfashion maxmaniasale end season sale price drop alert men fashion woman fashion,240,0,2.0,True,17315.0
889485486546481,https://www.facebook.com/reel/474528278652160/,2024-07-26T12:31:19.000Z,stop youre max mania sale ending absolute faves come check nearest max fashion store weekend maxfashion maxmaniasale last call max mania sale end season sale price drop alert woman fashion,276,0,,True,22718.0
888854323276264,https://www.facebook.com/maxfashions/posts/pfbid0NVj6GR49JLjQbVd9ouvjdkMr5BXw9D2m3ibnZBngspy3aPK5bVKg6UH6LcgNqCxHl,2024-07-25T13:25:25.000Z,heartbreak alert max mania sale ending week snatch best look 199 last let fit game shall hit nearest max fashion weekend maxfashion maxmaniasale last call max mania sale end season sale price drop alert woman fashion,144,1,2.0,False,
888660219962341,https://www.facebook.com/reel/1700049557493683/,2024-07-25T06:40:22.000Z,here final call max mania sale universe always sending sign grab vibeworthy style much 199 find nearest max fashion store grab bag go maxfashion maxmaniasale last call max mania sale end season sale price drop alert woman fashion men fashion,398,0,1.0,True,28883.0
888111410017222,https://www.facebook.com/reel/836326328101021/,2024-07-24T12:31:29.000Z,paris olympics lakers fit sport pumped youre diggin fit sprint nearest max fashion store make maxfashion lakersstyle olympics2024 nba athleisure wear paris olympics 2024 lakers,9,0,,True,733.0
887448796750150,https://www.facebook.com/maxfashions/posts/pfbid02Chca1gPGeoRLasJ9wmCXrbAZ9TzSrg1pKMg5K6pLyMmBvFUNtnnuDsof4uiTKakEl,2024-07-23T12:30:18.000Z,youll go banana moment get hand adorable minion tee also never getting tired utility cargo pant head nearest max fashion store add fit cart maxfashion teensfashion minion character tee utility cargo pant,11,0,1.0,False,
886844183477278,https://www.facebook.com/maxfashions/posts/pfbid0ttNrjUUdBgeWKojYcRfomhzNFCioDWZp3iC864LNfU8ynd1sNjFYfdgSJJB8fFNpl,2024-07-22T12:40:15.000Z,another ordinary monday monday loved saw head max fashion explore favorite maxfashion womenswear woman fashion floral print ruffle top pleated skirt,16,0,1.0,False,
886236496871380,https://www.facebook.com/reel/984282573441577/,2024-07-21T12:05:09.000Z,max mania sale cooking serious style bound turn head dont miss sizzling steal maxfashion maxmaniasale last call max mania sale end season sale men fashion price drop,315,3,3.0,True,18582.0
886015623560134,https://www.facebook.com/reel/826548942786958/,2024-07-21T06:00:51.000Z,weve spilled latest go max mania sale quite literally gotcha weekend plan sorted yall snatch favorite max mania sale 199 nearest max fashion store weekend maxfashion maxmaniasale end season sale woman fashion price drop alert,1085,1,5.0,True,83558.0
885458640282499,https://www.facebook.com/reel/1199620094788711/,2024-07-20T07:27:27.000Z,yep heard right chance go stock absolute favorite fit sprint nearest max fashion weekend maxfashion maxmaniasale last call max mania sale end season sale price drop alert woman fashion,816,1,4.0,True,41134.0
884464413715255,https://www.facebook.com/reel/838438437950454/,2024-07-18T15:28:47.000Z,dont let fomo win max mania sale ending soon weve got serious shopping grab musthaves 199 kidding go rush nearest max fashion store today maxfashion maxmaniasale last call max mania sale end season sale accessory bag,615,1,3.0,True,24120.0
883800073781689,https://www.facebook.com/reel/510745051519954/,2024-07-17T15:14:38.000Z,couldnt figure yet indigo favorite colour cant get shade indigo every shade indigo every side feeling bold serene today let fit talking maxfashion stylespotlight,15,0,,True,651.0
