,link,text,user,likes,quotes,retweets,comments
57,https://twitter.com/maxfashionindia/status/1758722340484161684#m,max fashion 500th store new style hq weekend plan sorted maxfashion500 maxfashion,Max Fashion India,6,0,3,0
58,https://twitter.com/maxfashionindia/status/1758122068141318401#m,told win gift voucher worth 5k nothing literally share legend nothing photo u tagging u instagram story sending u dm 2 lucky winner win voucher worth 500 maxurbn urbn,Max Fashion India,7,0,2,3
59,https://twitter.com/maxfashionindia/status/1757687879185154238#m,life update weve upgraded hustle hammock rsum includes professional lounger maxurbn urbn maxfashion shuffleitup,Max Fashion India,3,0,0,0
60,https://twitter.com/maxfashionindia/status/1754355218886660274#m,light camera shuffle urbn crew bringing heat epic way insta takeover banger dont wanna miss legendary vibe get ready shuffleitup u maxurbn urbn maxfashion shuffleitup,Max Fashion India,2,0,0,0
61,https://twitter.com/maxfashionindia/status/1754019115923124719#m,living urban vibe street canvas every move groove ready tune u shuffleitup city scene maxurbn urbn maxfashion shuffleitup,Max Fashion India,5,0,2,0
62,https://twitter.com/maxfashionindia/status/1753636933689872738#m,sidewalk cant handle energy flexin walking irresistible drip keep eye peeled big reveal maxurbn urbn maxfashion shuffleitup,Max Fashion India,5,0,0,2
63,https://twitter.com/maxfashionindia/status/1753420194628673731#m,dropping hint wire crew know turn conversation teaser masterpiece get ready launch cause bringing hype keeping 100 maxurbn urbn maxfashion shuffleitup,Max Fashion India,2,0,0,1
64,https://twitter.com/maxfashionindia/status/1752184338849112482#m,keep stylish matter youre binging maxfashion,Max Fashion India,5,0,2,2
65,https://twitter.com/maxfashionindia/status/1748632174352294332#m,peeling orange okay help pick awesome fit gazillion choice,Max Fashion India,6,0,0,3
66,https://twitter.com/maxfashionindia/status/1742510869270188379#m,whats common sirajs delivery max mania sale theyre indvssa siraj maxmaniasale,Max Fashion India,5,0,1,15
67,https://twitter.com/maxfashionindia/status/1738154076863598767#m,wishlist santa 1 max fashion gift card 2 thats merry christmas get max gift card nearest max fashion today maxfashion giftcards gifting,Max Fashion India,5,0,0,6
68,https://twitter.com/maxfashionindia/status/1737132766171677134#m,maxmaniasale iplauction maxfashion,Max Fashion India,11,0,2,3
69,https://twitter.com/maxfashionindia/status/1737057296658694327#m,delhi heart wardrobe jacket iconic here proof rush nearest max fashion get winter style sorted maxfashion maxstyleminprice winterfashion fashionjourney,Max Fashion India,11,1,3,0
70,https://twitter.com/maxfashionindia/status/1736720104182997422#m,well thats temperature drop bengaluru get ready sleigh game coolest drop rush nearest max fashion get favourite maxfashion maxstyleminprice winterfashion bengaluru cgiart,Max Fashion India,7,0,0,0
71,https://twitter.com/maxfashionindia/status/1735960777461481864#m,chill literal chill seeing max fashion winter fit shop max mania sale 499 visit nearest max store maxfashioncom make look maxfashion maxmaniasale fashionsale,Max Fashion India,3,0,1,1
72,https://twitter.com/maxfashionindia/status/1734864133886259707#m,max mania 499 sale live offer like never choose wide range garment accessory footwear rs499 rush nearest max fashion shop online maxfashion maxmaniasale neverbefore under499 sale,Max Fashion India,6,0,0,1
73,https://twitter.com/maxfashionindia/status/1734560022959677564#m,max mania sale back get ready make head turn max preview sale 499 starting tomorrow gonna lit rush nearest max store maxfashion maxmaniasale endofseasonsale under499 select merchandise,Max Fashion India,5,0,0,2
74,https://twitter.com/maxfashionindia/status/1734205512470958331#m,quote picture holding something monday motivation fr,Max Fashion India,6,0,0,1
75,https://twitter.com/maxfashionindia/status/1733494145879269631#m,back get ready witness something like never get mm stay tuned maxfashion neverbefore staytuned bigreveal,Max Fashion India,8,0,1,0
76,https://twitter.com/maxfashionindia/status/1731159046638665805#m,last day alert final chance repeat final chance buy 2 get 1 free entire store condition apply till today visit u instore maxfashioncom max maxfashion maxstyleminprice buy2get1free b2g1,Max Fashion India,7,0,0,3
77,https://twitter.com/maxfashionindia/status/1730893176301580426#m,bad idea miss birthday bash 3 lac customer celebrated buy 2 get 1 free offer yesterday offer valid entire store condition apply head nearest max store visit maxfashioncom valid 2nd 3rd dec last2days,Max Fashion India,9,0,0,1
78,https://twitter.com/maxfashionindia/status/1730120702521700589#m,celebrating 17 year max something big buy 2 get 1 free entire store condition applied offer valid 1st 2nd 3rd december visit nearest max fashion store log onto maxfashionin maxfashion 17yrs,Max Fashion India,5,0,0,2
79,https://twitter.com/maxfashionindia/status/1729123274624516191#m,full retro vibe max fashion awaited comeback coolest fashion groovy glam chic rewind whatever one may call available max fashion maxgoesretro maxfashion maxgoesretro retrofashion,Max Fashion India,5,0,0,1
80,https://twitter.com/maxfashionindia/status/1729005776579268622#m,yeaah saw absolutely right believe u best reveal way get ready dance iconic comeback save date 27th november maxgoesretro maxfashion maxgoesretro,Max Fashion India,6,0,1,0
81,https://twitter.com/maxfashionindia/status/1726163222477369731#m,order placed cup awaited share score prediction,Max Fashion India,4,0,0,4
82,https://twitter.com/maxfashionindia/status/1724845057608737141#m,maxfashion viratkohli indiavsnewzealand worlds2023,Max Fashion India,13,0,0,2
83,https://twitter.com/maxfashionindia/status/1724758675808788814#m,kohlis century runway takeover didnt see coming bold fierce totally vogue half century century odi king shreyas coming hot pursuit maxfashion indvsnz viratkohli,Max Fashion India,6,0,0,1
84,https://twitter.com/maxfashionindia/status/1721938662055919925#m,maxwell turned cricket cyborg today injury injury smashed double century made ball run world cup maxunbelievable maxfashion ausvafg cricketworldcup2023,Max Fashion India,11,0,4,3
85,https://twitter.com/maxfashionindia/status/1721516795289588059#m,time rush nearest max fashion rest assured wait longer umpire waited angelo maxfashion slvsban,Max Fashion India,9,0,2,3
86,https://twitter.com/maxfashionindia/status/1721143431182045196#m,knew cricket fashion could close competitor kohlis 49 century style make headline maxunbelievable maxfashion indvsa viratkohli,Max Fashion India,9,0,2,2
87,https://twitter.com/maxfashionindia/status/1720106909108482532#m,india gave sri lanka tourist special package today see sight enjoy view back pavilion tea time absolute maxunbelievable day cricket maxfashion maxunbelievable cricketcarnage slvind,Max Fashion India,8,1,2,3
